SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
ESE;BNP P S&P 500 UCITS ETF;EAESE.S;EUR;ETF;FR;TRWBCH;Desenvolvido;1
ESEA;BNP P S&P 500 UCITS ETF;ESEA;EUR;ETF;FR;GETTEX*;Desenvolvido;1
ESEH;BNP P S&P 500 UCITS ETF;ESEHp;EUR;ETF;FR;DXEEN;Desenvolvido;1
ESGEU;ETP ON GGX SDL EUROPE INDEX;ESGEU;CHF;ETF;CH;EBS*;Desenvolvido;1
ETBB;BNP P EURO STOXX 50 UCITS;ETBB;EUR;ETF;FR;GETTEX;Desenvolvido;1
ETDD;BNP P EURO STOXX 50 UCITS;ETDD;EUR;ETF;FR;FWB;Desenvolvido;1
ETFMIB;AMUNDI FTSE MIB UCITS ETF;LYMIB.PA;EUR;ETF;FR;TRWBEN;Desenvolvido;1
ETHEREUMX;ETHER TRACKER ONE - SEK;ETHEREUM XBT;SEK;ETF;SE;SFB*;Desenvolvido;1
ETHF;FIGMENT ETHEREUM PLUS SR ETP;ETHF;CHF;ETF;CH;EBS*;Desenvolvido;1
ETZ;BNP P STOXX EUROPE 600 ETF;ETSZ;EUR;ETF;FR;FWB;Desenvolvido;1
ETZD;BNP P STOXX EUROPE 600 ETF;ETZDp;EUR;ETF;FR;CHIXEN;Desenvolvido;1
FUW50;ETP ON FUW SWISS 50 IND NTR;FUW50;CHF;ETF;CH;EBS*;Desenvolvido;1
FUWEP;ETP ON FUW ECO PORTFOLIO;FUWEP;CHF;ETF;CH;EBS*;Desenvolvido;1
FUWRP;ETP ON FUW RISK PORTFOLIO;FUWRP;CHF;ETF;CH;EBS*;Desenvolvido;1
FUWVP;ETP ON FUW VALUE PORTFOLIO;FUWVP;CHF;ETF;CH;EBS*;Desenvolvido;1
GOLDC;ETP ON GOLD CHF HEDGED INDEX;GOLDC;CHF;ETF;CH;EBS*;Desenvolvido;1
GRE1;AMUNDI MSCI GREECE;LGRE.PA;EUR;ETF;FR;TRWBEN;Desenvolvido;1
HAMO;HASHDEX CRYPTO MOMENTUM ETP;HAMO;CHF;ETF;CH;EBS*;Desenvolvido;1
HASH;HASHDEX NCI EUROPE ETP;HASH;CHF;ETF;CH;EBS*;Desenvolvido;1
HODL;21SHARES CRYPTO BASKET ETP;HODL;CHF;ETF;CH;EBS*;Desenvolvido;1
HODLV;21SHARES CRYPTO BASKET EQUAL;HODLV;CHF;ETF;CH;EBS*;Desenvolvido;1
HODLX;21SH CRYTO BAK 10 CR ETP;HODLX;CHF;ETF;CH;EBS*;Desenvolvido;1
HRL.F100;HAREL SAL DJ US BOND EQ MM;HRL.F100;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F102;HAREL S&P CONS STAPLES CUR H;HRL.F102;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F109;HAREL TEL BOND YIELD SHEKEL;HRL.F109;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F11;HAREL SAL (4A) TA 90;HRL.F11;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F12;HAREL INDEX ISRAEL BANKS;HRL.F12;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F13;HAREL SAL 00 TEL BOND 40;HRL.F13;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F14;HAREL SAL TA-SME60;HRL.F14;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F15;HAREL SAL 4A TA-REAL ESTATE;HRL.F15;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F16;HAREL SAL 4A TA-FINANCE;HRL.F16;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F17;HAREL SAL 4A TEL - DIV;HRL.F17;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F18;HAREL SAL 4A TA-GROWTH;HRL.F18;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F2;HAREL SAL 4A TA 125;HRL.F2;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F200;HAREL S&P CONS DISCR CUR HDG;HRL.F200;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F201;HAREL S&P REGIONAL BANKS CHG;HRL.F201;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F203;HAREL EURO STOXX 50 EURO-HDG;HRL.F203;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F204;HAREL ISE CYBER SEC DOLLAR-H;HRL.F204;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F205;HAREL MSCI AC WORLD DOLLAR-H;HRL.F205;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F207;HAREL SAL ISE CYBER SECURITY;HRL.F207;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F208;HAREL IBOXX US CP LIQ 3-7 CH;HRL.F208;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F24;HAREL SAL 00 TEL BD - SHEKEL;HRL.F24;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F25;HAREL SAL 4D S&P 500;HRL.F25;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F26;HAREL SAL 4D NASDAQ 100;HRL.F26;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F28;HAREL SAL (4D) DAX 30;HRL.F28;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F3;HAREL SAL 00 TEL BOND 20;HRL.F3;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F300;HAREL SAL TEL BOND SHEKEL-50;HRL.F300;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F301;HAREL SAL TEL BOND-GLOBAL;HRL.F301;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F302;HAREL SAL TA SECTOR-BALANCE;HRL.F302;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F303;HAREL TEL BND - SHK BNK&INS;HRL.F303;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F31;HAREL SAL DJ US BOND EQ;HRL.F31;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F4;HAREL SAL 00 TEL BOND 60;HRL.F4;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F49;HAREL NASDAQ 100 CURRENCY HG;HRL.F49;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F50;HAREL SAL S&P 500 CURNCY HDG;HRL.F50;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F51;HAREL RUSSELL 2000 CRNCY HDG;HRL.F51;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F53;HAREL SAL DAX 30 CURNCY HDG;HRL.F53;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F59;HAREL SAL 4D DJ US DIVIDEND;HRL.F59;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F61;HAREL SAL 00 TEL BND CPI LNK;HRL.F61;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F64;HAREL SAL DJ INDUSTRIAL AVG;HRL.F64;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F65;HAREL SAL 4D EURO STOXX 50;HRL.F65;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F67;HAREL SAL 4A NIKKEI 225 CHDG;HRL.F67;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F68;HAREL SAL 4D S&P INDUSTRIAL;HRL.F68;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F69;HAREL SAL 00 TEL BOND YIELDS;HRL.F69;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F7;HAREL SAL (4A) TA 35;HRL.F7;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F72;HAREL SAL 4D EMERGING MARKET;HRL.F72;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F73;HAREL SAL 4D MSCI AC WORLD;HRL.F73;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F74;HAREL SAL 4D S&P HEALTH CARE;HRL.F74;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F75;HAREL SAL 4D S&P FINANCIAL;HRL.F75;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F76;HAREL SAL 4D S&P CONS STAPLE;HRL.F76;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F77;HAREL SAL 4D STOXX EUR 600;HRL.F77;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F80;HAREL STOXX EUROPE 600 EU-HG;HRL.F80;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F81;HAREL SAL 4A S&P FIN CURR HD;HRL.F81;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F82;HAREL S&P 500 L VOL CRNCY HG;HRL.F82;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F84;HAREL MSCI EURO FIN EURO-HDG;HRL.F84;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F86;HAREL S&P TECHNOLOGY CUR HDG;HRL.F86;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F87;HAREL SAL 4D S&P TECHNOLOGY;HRL.F87;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F94;HAREL 4A DJ US DVD CURR HDG;HRL.F94;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F95;HAREL S&P 500 EQUAL WT CHGD;HRL.F95;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F96;HAREL SAL 4D S&P ENERGY;HRL.F96;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.F99;HAREL SAL S&P CONSUMER DISCR;HRL.F99;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.FK41;HAREL KOSHER TEL BOND 60;HRL.FK41;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.FK42;HAREL KOSHER TEL BOND-SHEKEL;HRL.FK42;ILS;ETF;IL;TASE*;Desenvolvido;1
HRL.FK43;HAREL SAL KOSHER TA 125;HRL.FK43;ILS;ETF;IL;TASE*;Desenvolvido;1
HRLF209;HAREL SAL IBOXX USD CORP 3-7;HRLF209;ILS;ETF;IL;TASE*;Desenvolvido;1
HRLF29;HAREL SAL 4D HANG SENG;HRLF29;ILS;ETF;IL;TASE*;Desenvolvido;1
HRLF30;HAREL SAL 4D MSCI INDIA;HRLF30;ILS;ETF;IL;TASE*;Desenvolvido;1
HRLF93;HAREL HTF 4A S&P HEALTH CARE C;HRLF93;ILS;ETF;IL;TASE*;Desenvolvido;1
IBEXA;AMUND IBEX35 DAD 2X;IBEXAe;EUR;ETF;FR;DXEES;Desenvolvido;1
IBI.F10;IBI SAL 00 TL GOV-CPI LNK IL;IBI.F10;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F106;IBI SAL 4D MSCI AC WORLD;IBI.F106;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F11;IBI SAL 00 TEL GOV-SHEKEL IL;IBI.F11;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F112;IBI SAL 4A DAX CURRENCY-HEDG;IBI.F112;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F13;IBI SAL 00 TEL-BOND 40 IL;IBI.F13;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F14;IBI SAL 00 TEL-BOND 60 IL;IBI.F14;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F16;IBI SAL 00 TEL BO-CPI LNK IL;IBI.F16;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F161;IBI SAL 6A ST TA-90 25795 IL;IBI.F161;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F22;IBI SAL 00 TEL BOND-CPI LN A;IBI.F22;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F35;IBI SAL 4A INDEX IS BK IL;IBI.F35;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F42;IBI SAL 4A TA-125 IL;IBI.F42;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F46;IBI SAL 4A TA-MIDCAP150 IL;IBI.F46;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F6;IBI SAL 00 TEL GOV-NON LN IL;IBI.F6;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F61;IBI SAL 4D LBMA GLD PRICE AM;IBI.F61;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F62;IB SA 0D IBO US LI IN GR T30;IBI.F62;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.F65;IBI SAL 4D S&P 500;IBI.F65;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.FK1;IBI SAL 00 KOHR TEL-BD 60 IL;IBI.FK1;ILS;ETF;IL;TASE*;Desenvolvido;1
IBI.FK4;IBI SAL 4A KOSHER TA-125 IL;IBI.FK4;ILS;ETF;IL;TASE*;Desenvolvido;1
INR;AMUNDI MSCI INDIA;INRp;EUR;ETF;FR;TRQXEN;Desenvolvido;1
ISCH;AMDI ISR CRED USD ETF EU H C;ISCHp;EUR;ETF;FR;CHIXEN;Desenvolvido;1
ISJH;AMDI LABL ISR ACT JPN ETF HC;ISJH;EUR;ETF;FR;SBF*;Desenvolvido;1
ISRA;AMDI ISR AC EURO UCITS ETF C;ISRA;EUR;ETF;FR;SBF*;Desenvolvido;1
ISRC;AMDI ISR CRED EUR UCIT ETF C;ISRCp;EUR;ETF;FR;CHIXEN;Desenvolvido;1
ISRD;AMDI ISR CRED US UCITS ETF C;ISRDp;EUR;ETF;FR;DXEEN;Desenvolvido;1
ISRJ;AMDI LABL ISR ACT JPN ETF C;ISRJ;EUR;ETF;FR;SBF*;Desenvolvido;1
ISRM;AMDI ISR ACTIONS MONDE ETF C;ISRM;EUR;ETF;FR;SBF*;Desenvolvido;1
ISRU;AMDI ISR ACT US UCITS ETF C;ISRU;EUR;ETF;FR;SBF*;Desenvolvido;1
ISUH;AMDI ISR ACT US UC ET EURH C;ISUH;EUR;ETF;FR;SBF*;Desenvolvido;1
ITAMID;AMUNDI FTSE ITALIA PMI PIR 2;ITAMID.MI;EUR;ETF;FR;TRWBIT;Desenvolvido;1
JPN;AMUNDI JAPAN TOPIX DIST EUR;JPNp;EUR;ETF;FR;BATEEN;Desenvolvido;1
JPNH;AMI JAPAN TOPIX-D-HDG-EUR;JPNH;EUR;ETF;FR;EBS;Desenvolvido;1
KSM.F1;KSM ETF TEL-CP35;KSM.F1;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F10;KSM ETF HHOTR;KSM.F10;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F101;KSM ETF SPTSX60N CH;KSM.F101;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F103;KSM ETF TA-OIL;KSM.F103;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F104;KSM ETF TA-BIO;KSM.F104;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F106;KSM ETF IBOXIG30;KSM.F106;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F107;KSM ETF TEL-BCL;KSM.F107;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F108;KSM ETF TEL-BCLS;KSM.F108;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F109;KSM ETF SPSIHON;KSM.F109;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F11;KSM ETF CTIUSTR;KSM.F11;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F110;KSM ETF TEL-YLD;KSM.F110;ILS;ETF;IL;TASE*;Desenvolvido;1
KSM.F111;KSM ETF LV SPTR500N X3;KSM.F111;ILS;ETF;IL;TASE*;Desenvolvido;1
