SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
AGS;ARCTURUS GROWTHSTAR TECH INC;AGS;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGT;APPLIED GRAPHITE TECHNOLOGIE;AGT;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AGX;SILVER X MINING CORP;AGX;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AHM.H;ANTLER HILL MINING LTD;AHM.H;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AHR;AMARC RESOURCES LTD;AHR;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
AI;ATRIUM MORTGAGE INVESTMENT C;AI;CAD;Stocks;CA;TSE*;Desenvolvido;1
AIAI;NETRAMARK HOLDINGS INC;AIAI;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AIC;ALPHAGEN INTELLIGENCE CORP;AIC;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AICO;GENERATIVE AI SOLUTIONS CORP;AICO;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AIDX;HEALWELL AI INC;AIDX;CAD;Stocks;CA;TSE*;Desenvolvido;1
AIF;ALTUS GROUP LTD;AIF;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AIG;GENESIS AI CORP;AIG;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AII;ALMONTY INDUSTRIES INC;AII;CAD;Stocks;CA;TSE*;Desenvolvido;1
AIM;AIMIA INC;AIM;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AIM.PR.A;GROUPE AEROPLAN INC CUM PFD SER 1;AIM.PR.A;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AIM.PR.C;AIMIA INC;AIM.PR.C;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AIM.PR.D;AIMIA INC;AIM.PR.D;CAD;Stocks;CA;AEQLIT;Desenvolvido;1
AIME.P;AIM5 VENTURES INC;AIME.P;CAD;Stocks;CA;VENTURE*;Desenvolvido;1
