SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
AERS;AQUILA EUROPEAN RENEWABLES;AERSl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
AET;AFENTRA PLC;AETl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
AEUH;AMG EUROPA-C;AEUH;CHF;Stocks;CH;EBS*;Desenvolvido;1
AEWU;AEW UK REIT PLC;AEWUl;GBP;Stocks;GB;TRQXUK;Desenvolvido;1
AEX;AMINEX PLC;AEX;GBP;Stocks;GB;LSE*;Desenvolvido;1
AFC;AFC ENERGY PLC;AFC;GBP;Stocks;GB;LSE*;Desenvolvido;1
AFG;AF GRUPPEN ASA;AFG;NOK;Stocks;NO;OSE*;Desenvolvido;1
AFHL;AFCON HOLDINGS LTD;AFHL;ILS;Stocks;IL;TASE*;Desenvolvido;1
AFN;ADVFN PLC;AFN;GBP;Stocks;GB;LSE*;Desenvolvido;1
AFP;ALUFLEXPACK AG;AFP;CHF;Stocks;CH;EBS*;Desenvolvido;1
AFP;AFRICAN PIONEER PLC;AFP;GBP;Stocks;GB;LSE*;Desenvolvido;1
AFPR;AFI PROPERTIES LTD;AFPR;ILS;Stocks;IL;TASE*;Desenvolvido;1
AFRE;AFRICA ISRAEL RESIDENCES LTD;AFRE;ILS;Stocks;IL;TASE*;Desenvolvido;1
AFRK;AFARAK GROUP SE;AFRK;GBP;Stocks;GB;LSE*;Desenvolvido;1
AFRN;AFERIAN PLC;AFRN;GBP;Stocks;GB;LSE*;Desenvolvido;1
AFRY;AFRY AB;AFRY;SEK;Stocks;SE;SFB*;Desenvolvido;1
AGES.B;AGES INDUSTRI AB;AGES B;SEK;Stocks;SE;SFB*;Desenvolvido;1
AGFB;AGFA-GEVAERT NV;AGFBb;EUR;Stocks;FR;AQEUEN;Desenvolvido;1
AGFX;ARGENTEX GROUP PLC;AGFX;GBP;Stocks;GB;LSE*;Desenvolvido;1
AGILC;AGILLIC A/S;AGILC;DKK;Stocks;DK;CPH*;Desenvolvido;1
AGLX;AGILYX ASA;AGLX;NOK;Stocks;NO;OSE*;Desenvolvido;1
AGR;ASSURA PLC;AGRl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
AGROUP;ARLANDASTAD GROUP AB;AGROUP;SEK;Stocks;SE;SFB*;Desenvolvido;1
AGT;AVI GLOBAL TRUST PLC;AGTl;GBP;Stocks;GB;BATEUK;Desenvolvido;1
AGTA;AGRITERRA LTD;AGTA;GBP;Stocks;GB;LSE*;Desenvolvido;1
AGVI;ABERFORTH GEARED VALUE & INC;AGVIl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
AGY;ALLERGY THERAPEUTICS PLC;AGY;GBP;Stocks;GB;LSE*;Desenvolvido;1
AGZI;ABERFORTH GEARED VALUE & INC;AGZI;GBP;Stocks;GB;LSE*;Desenvolvido;1
AHT;ASHTEAD GROUP PLC;AHTl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
AIBG;AIB GROUP PLC;AIBG;GBP;Stocks;GB;LSE*;Desenvolvido;1
AIE;ASHOKA INDIA EQUITY IT;AIEl;GBP;Stocks;GB;BATEUK;Desenvolvido;1
AIEA;AIREA PLC;AIEA;GBP;Stocks;GB;LSE*;Desenvolvido;1
AIEF;ALPORA INNOVATION EUROPA-CHF;AIEF;CHF;Stocks;CH;EBS*;Desenvolvido;1
AIG;AMERICAN INTERNATIONAL GROUP;AIG;CHF;Stocks;CH;EBS*;Desenvolvido;1
AILN;AXILION SMART MOBILITY LTD;AILN;ILS;Stocks;IL;TASE*;Desenvolvido;1
AINO;AINO HEALTH AB;AINO;SEK;Stocks;SE;SFB*;Desenvolvido;1
AIQ;AIQ LTD;AIQ;GBP;Stocks;GB;LSE*;Desenvolvido;1
AIR;AIRBUS SE;AIR;EUR;Stocks;FR;SBF*;Desenvolvido;1
AIRE;ALTERNATIVE INCOME REIT PLC;AIRE;GBP;Stocks;GB;LSE*;Desenvolvido;1
AIY;ACTIVISION BLIZZARD INC;AIY;CHF;Stocks;CH;EBS*;Desenvolvido;1
AJA.B;ANDERS J AHLSTROM -B SHARES;AJA B;SEK;Stocks;SE;SFB*;Desenvolvido;1
AJAX;AJAX RESOURCES PLC-DI;AJAX;GBP;Stocks;GB;LSE*;Desenvolvido;1
AJB;AJ BELL PLC;AJB;GBP;Stocks;GB;LSE*;Desenvolvido;1
AJOT;AVI JAPAN OPPORTUNITY TRUST;AJOTl;GBP;Stocks;GB;AQXEUK;Desenvolvido;1
AKAST;AKASTOR ASA;AKAST;NOK;Stocks;NO;OSE*;Desenvolvido;1
AKBM;AKER BIOMARINE ASA;AKBM;NOK;Stocks;NO;OSE*;Desenvolvido;1
AKH;AKER HORIZONS ASA;AKH;NOK;Stocks;NO;OSE*;Desenvolvido;1
AKSO;AKER SOLUTIONS ASA;AKSO;NOK;Stocks;NO;OSE*;Desenvolvido;1
AKVA;AKVA GROUP ASA;AKVA;NOK;Stocks;NO;OSE*;Desenvolvido;1
AL2SI;2CRSI SA;AL2SI;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALADO;ADOMOS;ALADO;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALAGP;AGRIPOWER FRANCE SA;ALAGP;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALAGR;AGROGENERATION;ALAGR;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALAMA;AMA CORP PLC;ALAMA;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALAMG;AUPLATA MINING GR;ALAMG;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALAQU;AQUILA;ALAQU;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALAR;ALARUM TECHNOLOGIES LTD;ALAR;ILS;Stocks;IL;TASE*;Desenvolvido;1
ALARF;ADEUNIS RF SACA;ALARF;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALAST;AST GROUPE;ALAST;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALATA;ATARI SA;ALATAp;EUR;Stocks;FR;AQEUEN;Desenvolvido;1
ALATI;ACTIA GROUP;ALATI;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALAVE;AVENTADOR;ALAVE;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALB;CORPORACION FINANCIERA ALBA;ALBe;EUR;Stocks;FR;AQEUES;Desenvolvido;1
ALBA;ALBAAD MASSUOT YITZHAK LTD;ALBA;ILS;Stocks;IL;TASE*;Desenvolvido;1
ALBA;ALBA MINERAL RESOURCES PLC;ALBA;GBP;Stocks;GB;LSE*;Desenvolvido;1
ALBERT;EEDUCATION ALBERT;ALBERT;SEK;Stocks;SE;SFB*;Desenvolvido;1
ALBLU;BLUELINEA;ALBLU;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALBOO;BOOSTHEAT SACA;ALBOO;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALBOU;BOURRELIER GROUP;ALBOU;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALBPS;BIOPHYTIS;ALBPS;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALCAB;CABASSE SA;ALCAB;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALCAD;ALCADON GROUP AB;ALCAD;SEK;Stocks;SE;SFB*;Desenvolvido;1
ALCAP;CAPELLI;ALCAP;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALCBI;CRYPTO BLOCKCHAIN INDUSTRIES;ALCBI;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALCLA;CLASQUIN;ALCLA;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALCOF;COFIDUR;ALCOF;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALCOG;COGRA 48;ALCOG;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALCOI;COIL;ALCOI;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALCOX;NICOX SA;ALCOXp;EUR;Stocks;FR;AQEUEN;Desenvolvido;1
ALCWE;CHARWOOD ENERGY SA;ALCWE;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALDBL;BERNARD LOISEAU SA;ALDBL;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALDBT;DBT;ALDBT;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALDEL;DELFINGEN INDUSTRY;ALDEL;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALDEV;DEVERNOIS SA;ALDEV;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALDLT;DELTA PLUS GROUP;ALDLTp;EUR;Stocks;FR;AQEUEN;Desenvolvido;1
ALDUB;ENCRES DUBUIT;ALDUB;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALDUX;ADUX;ALDUX;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALDV;AD CAPITAL SIIC;ALDV;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALECO;ECOMIAM SA;ALECO;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALECR;EUROFINS CEREP-REGR;ALECR;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALEFRM;ALEFARM BREWING A/S;ALEFRM;DKK;Stocks;DK;CPH*;Desenvolvido;1
ALEMV;EMOVA GROUP;ALEMV;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALENR;ENTREPRENDRE;ALENR;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALENT;ENTREPARTICULIERS.COM;ALENT;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALEO2;EO2;ALEO2;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALERS;EUROBIO-SCIENTIFIC;ALERS;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALESA;ECOSLOPS;ALESA;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALESE;ENTECH SACA;ALESE;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALEUA;EURASIA GROUPE;ALEUA;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALEXA;EXACOMPTA CLAIREFONTAINE;ALEXA;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALEXP;ONE EXPERIENCE;ALEXP;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALFA;ALFA LAVAL AB;ALFA;SEK;Stocks;SE;SFB*;Desenvolvido;1
ALFA;ALFA FINANCIAL SOFTWARE HOLD;ALFA;GBP;Stocks;GB;LSE*;Desenvolvido;1
ALFBA;FASHION B AIR SA;ALFBA;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALFLE;FLEURY MICHON SA;ALFLE;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALFRE;FREELANCE.COM;ALFRE;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALFUM;FILL UP MEDIA SA;ALFUM;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALGBE;GLOBAL BIOENERGIES SA;ALGBE;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALGEN;GENOWAY SA;ALGEN;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALGEV;GEVELOT SA;ALGEV;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALGIR;SIGNAUX GIROD;ALGIR;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALGS;ALON GAS ENERGY DEVELOPMENT;ALGS;ILS;Stocks;IL;TASE*;Desenvolvido;1
ALGTR;GROUPE TERA;ALGTR;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALGW;ALPHA GROWTH PLC;ALGW;GBP;Stocks;GB;LSE*;Desenvolvido;1
ALHAF;HAFFNER ENERGY SA;ALHAF;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALHE;ALONY HETZ PROPERTIES & INV;ALHE;ILS;Stocks;IL;TASE*;Desenvolvido;1
ALHEX;HEXAOM;ALHEX;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALHF;HF COMPANY;ALHF;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALHGO;HAMILTON GLOBAL OPPORTUNITIE;ALHGO;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALHIT;HITECHPROS;ALHIT;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALHOP;HOPSCOTCH GROUPE;ALHOP;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALHRS;HYDROGEN REFUELING SOLUTIONS;ALHRS;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALHYP;HIPAY GROUP SA;ALHYPp;EUR;Stocks;FR;AQEUEN;Desenvolvido;1
ALI2S;I2S SA;ALI2S;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALICA;ICAPE HOLDING SA;ALICA;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALICR;I CERAM;ALICR;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALIDS;IDSUD;ALIDS;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALIF.B;ADDLIFE AB-B;ALIF B;SEK;Stocks;SE;SFB*;Desenvolvido;1
ALIG;ALIMAK GROUP AB;ALIG;SEK;Stocks;SE;SFB*;Desenvolvido;1
ALIKO;IKONISYS SA;ALIKO;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALIMP;IMPLANET;ALIMP;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALIMR;IMMERSION;ALIMR;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALINN;INNELEC MULTIMEDIA;ALINN;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALINS;INTRASENSE SAS;ALINS;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALINT;INTEGRAGEN;ALINT;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALINV;INVIBES ADVERTISING;ALINV;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALISP;ISPD NETWORK;ALISP;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALIVSDB;AUTOLIV INC-SWED DEP RECEIPT;ALIV SDB;SEK;Stocks;SE;SFB*;Desenvolvido;1
ALJXR;ARCHOS;ALJXR;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALK;ALKEMY CAPITAL INVESTMENTS P;ALK;GBP;Stocks;GB;LSE*;Desenvolvido;1
ALKAL;KALRAY SADIR;ALKAL;EUR;Stocks;FR;SBF*;Desenvolvido;1
ALKEY;KEYRUS;ALKEY;EUR;Stocks;FR;SBF*;Desenvolvido;1
