SYMBOL;DESCRIPTION;IBKR SYMBOL;CURRENCY;PRODUCT;REGION;EXCHANGE *PRIMARY EXCHANGE;Classificação Econômica;inloco
83151;PREMIA CHINA STAR 50 ETF-CNY;83151;CNH;ETF;HK;SEHK*;Desenvolvido;0
83161;CHINAAMC RMB MMF ETF;83161;CNH;ETF;HK;SEHK*;Desenvolvido;0
83167;ICBC CSOP S&P NEW CHINA -CNY;83167;CNH;ETF;HK;SEHK*;Desenvolvido;0
83168;HANG SENG RMB GOLD ETF-CNY;83168;CNH;ETF;HK;SEHK*;Desenvolvido;0
83188;CHINAAMC ETF SERIES - CH-CNY;83188;CNH;ETF;HK;SEHK*;Desenvolvido;0
83189;E FUND HK CSI LQR IDX ETFRMB;83189;CNH;ETF;HK;SEHK*;Desenvolvido;0
83192;BOSERA RMB MONEY MARKET ETF;83192;CNH;ETF;HK;SEHK*;Desenvolvido;0
83196;BOSERA USD MMKT ETF - RMB;83196;CNH;ETF;HK;SEHK*;Desenvolvido;0
83199;ICBC CSOP FTSE CHN GVT&PL BI;83199;CNH;ETF;HK;SEHK*;Desenvolvido;0
83403;CHINAAMC HSI ESG ETF-RMB;83403;CNH;ETF;HK;SEHK*;Desenvolvido;0
83404;CHINAAMC MSCI INDIA ETF CNY;83404;CNH;ETF;HK;SEHK*;Desenvolvido;0
83437;BOSERA CSOE HIDV ETF-R;83437;CNH;ETF;HK;SEHK*;Desenvolvido;0
9001;PREMIA CHINA USD PRO BON-USD;9001;USD;ETF;HK;SEHK*;Desenvolvido;0
9008;BOSERA HASHKEY BTC ETF - USD;9008;USD;ETF;HK;SEHK*;Desenvolvido;0
9009;BOSERA HASHKEY ETHER ETF-USD;9009;USD;ETF;HK;SEHK*;Desenvolvido;0
9010;ISHARES CORE MSCI AXJ -USD;9010;USD;ETF;HK;SEHK*;Desenvolvido;0
9011;ICBC CICC USD MONEY MARK-USD;9011;USD;ETF;HK;SEHK*;Desenvolvido;0
9040;GLOBAL X MSCI CHINA-USD;9040;USD;ETF;HK;SEHK*;Desenvolvido;0
9042;CHINAAMC BITCOIN ETF USD;9042;USD;ETF;HK;SEHK*;Desenvolvido;0
9046;CHINAAMC ETHER ETF USD;9046;USD;ETF;HK;SEHK*;Desenvolvido;0
9047;SSIF DCE IRON ORE FUTURE-USD;9047;USD;ETF;HK;SEHK*;Desenvolvido;0
9067;ISHARES HANG SENG TECH E-USD;9067;USD;ETF;HK;SEHK*;Desenvolvido;0
9069;CHINAAMC HS BIOTECH-USD INC;9069;USD;ETF;HK;SEHK*;Desenvolvido;0
9070;PINGAN OF CN CSI HK DVD ETF;9070;USD;ETF;HK;SEHK*;Desenvolvido;0
9072;NIKKO AM GLOBAL INTERNET-USD;9072;USD;ETF;HK;SEHK*;Desenvolvido;0
9074;ISHARES CORE MSCI TAIWAN-USD;9074;USD;ETF;HK;SEHK*;Desenvolvido;0
9075;GLOB X ASIA USD INV G BD USD;9075;USD;ETF;HK;SEHK*;Desenvolvido;0
9077;PREMIA US TREASURY FLOAT-USD;9077;USD;ETF;HK;SEHK*;Desenvolvido;0
9078;PREMIA US TREASURY FLOAT-USD;9078;USD;ETF;HK;SEHK*;Desenvolvido;0
9081;VALUEGOLD ETF-USD;9081;USD;ETF;HK;SEHK*;Desenvolvido;0
9084;GLOBAL X INDIA SLD ACT;9084;USD;ETF;HK;SEHK*;Desenvolvido;0
9086;CHINAAMC NASDAQ 100 ETF-USD;9086;USD;ETF;HK;SEHK*;Desenvolvido;0
9088;CHINAAMC HANG SENG TECH;9088;USD;ETF;HK;SEHK*;Desenvolvido;0
9091;NIKKOAM MTV THEME ACT ETF;9091;USD;ETF;HK;SEHK*;Desenvolvido;0
9096;CSOP US DOLLAR MONEY MAR-USD;9096;USD;ETF;HK;SEHK*;Desenvolvido;0
9104;GLOBAL X EMERGING MARKETS;9104;USD;ETF;HK;SEHK*;Desenvolvido;0
9107;BOSERA 20+ Y US TRE BOND ETF;9107;USD;ETF;HK;SEHK*;Desenvolvido;0
9115;ISHARES CORE HANG SENG -USD;9115;USD;ETF;HK;SEHK*;Desenvolvido;0
9125;ISHARES SD CN PBANK BD -USD;9125;USD;ETF;HK;SEHK*;Desenvolvido;0
9141;CHINAAMC ASIA USD INVEST-USD;9141;USD;ETF;HK;SEHK*;Desenvolvido;0
9146;CAMC 20+ UST ETF DIST USD;9146;USD;ETF;HK;SEHK*;Desenvolvido;0
9151;PREMIA CHINA STAR 50 ETF-USD;9151;USD;ETF;HK;SEHK*;Desenvolvido;0
9156;BOSERA 20+ Y US TRE BOND ETF;9156;USD;ETF;HK;SEHK*;Desenvolvido;0
9159;PREMIA TW50A-U;9159;USD;ETF;HK;SEHK*;Desenvolvido;0
9167;ICBC CSOP S&P NEW CHINA -USD;9167;USD;ETF;HK;SEHK*;Desenvolvido;0
9173;PREMIA CSI CAIXIN CHINA -USD;9173;USD;ETF;HK;SEHK*;Desenvolvido;0
9177;PREMIA CH TRE PO BANK BL-USH;9177;USD;ETF;HK;SEHK*;Desenvolvido;0
9179;HARVEST ETHER SPOT ETF USD;9179;USD;ETF;HK;SEHK*;Desenvolvido;0
9181;PREMIA ASIA INNOVATIVE TECHN;9181;USD;ETF;HK;SEHK*;Desenvolvido;0
9187;SAMSUNG S&P HIGH DIVIDEN-USD;9187;USD;ETF;HK;SEHK*;Desenvolvido;0
9191;GLOBAL X CHINA SEMICONDU-USD;9191;USD;ETF;HK;SEHK*;Desenvolvido;0
9195;HANG SENG S&P 500 INDEX ETF;9195;USD;ETF;HK;SEHK*;Desenvolvido;0
9196;BOSERA USD MMKT ETF - USD;9196;USD;ETF;HK;SEHK*;Desenvolvido;0
9403;CHINAAMC HSI ESG ETF-USD;9403;USD;ETF;HK;SEHK*;Desenvolvido;0
9404;CHINAAMC MSCI INDIA ETF USD;9404;USD;ETF;HK;SEHK*;Desenvolvido;0
9411;PREMIA JACI USD BOND ETF;9411;USD;ETF;HK;SEHK*;Desenvolvido;0
9437;BOSERA CSOE HIDV ETF-U;9437;USD;ETF;HK;SEHK*;Desenvolvido;0
9439;HARVEST BITCOIN SPOT ETF USD;9439;USD;ETF;HK;SEHK*;Desenvolvido;0
9440;GLOBAL X US TREASURY 0-3 M;9440;USD;ETF;HK;SEHK*;Desenvolvido;0
9446;CAMC 20+ UST ETF ACC USD;9446;USD;ETF;HK;SEHK*;Desenvolvido;0
9450;GLOBAL X US TREASURY 3-5 YR;9450;USD;ETF;HK;SEHK*;Desenvolvido;0
